frame_count,knuckle_x,knuckle_y,knuckle_z,PIP_x,PIP_y,PIP_z,DIP_x,DIP_y,DIP_z,tip_x,tip_y,tip_z
1,0.0,0.0,0.0,-26.02175388434356,-0.8611729545439569,32.578852557942895,-38.92172098550581,1.7375572926827325,24.158296847831465,-45.61923454434554,3.315112880363162,8.943600627267427
2,0.0,0.0,0.0,-26.02175388434356,-0.8611729545439569,32.578852557942895,-38.92172098550581,1.7375572926827325,24.158296847831465,-45.61923454434554,3.315112880363162,8.943600627267427
3,0.0,0.0,0.0,-26.02175388434356,-0.8611729545439569,32.578852557942895,-38.92172098550581,1.7375572926827325,24.158296847831465,-45.61923454434554,3.315112880363162,8.943600627267427
4,0.0,0.0,0.0,-24.733501735358196,-0.33476018931022944,32.31518752192447,-36.18334560597886,2.478323659814352,24.549614483863593,-41.92901909250325,4.21447710035225,10.350315416917976
5,0.0,0.0,0.0,-23.76969933112967,-0.2882514619872033,32.23750326169018,-34.5071043717782,2.8475841899112817,24.8512607783475,-39.78585708404334,4.696396286325334,10.751752539028761
6,0.0,0.0,0.0,-22.184017610015722,-0.3832762222327218,32.48882923490286,-31.278258659366845,3.3601140755791468,25.64722830759725,-35.354457676281186,5.62308737539398,11.904091825320142
7,0.0,0.0,0.0,-21.37495207703021,-0.4335996164330136,33.59593885256898,-29.550730987377328,3.3633061488976517,27.606293497692185,-33.010567961733834,5.512517816850131,14.533951684917747
8,0.0,0.0,0.0,-19.30373314456246,-0.7990025221581925,35.53774573953513,-25.853694481751006,2.5254888995929763,32.92393909785138,-28.283834827510212,4.278596572174925,22.708993517355207
9,0.0,0.0,0.0,-18.733351504341908,-0.7808015310687075,37.31225605098852,-25.69262664988194,2.0291468925102096,39.55713160347653,-28.94513326540749,3.5044943074708867,34.43117801353627
10,0.0,0.0,0.0,-17.727937450027028,-0.020599879859048098,40.15762837702714,-24.887455034682837,2.224838321494979,48.415042249066886,-28.849687852216825,3.4187077862630444,49.38000644952666
11,0.0,0.0,0.0,-17.898671138371903,0.8430116832100648,42.307353902855525,-26.480821716801426,2.2439831629163827,55.86692532008168,-32.072662675469765,2.747085989394191,62.30283318021795
12,0.0,0.0,0.0,-17.957314853443535,1.7569272695729616,43.728504380398796,-27.77474425847047,2.6737960861961705,61.826570455028616,-34.8677050650039,2.7293704815610744,73.05950172875603
13,0.0,0.0,0.0,-18.278465786163316,2.8673297345681203,44.40835598007938,-28.954870149688674,3.818899020702247,65.28121311644898,-37.134463431254254,3.8443859730206795,79.99646348654868
14,0.0,0.0,0.0,-18.41033621347687,3.4524372023002554,44.67215546133555,-29.31979811380295,4.52966720216353,65.71174498214918,-37.70755446386598,4.3326366313622655,80.65229489551379
15,0.0,0.0,0.0,-18.34400964012436,3.2178103392278574,44.54310252063421,-29.10266519189826,4.224477259099579,65.5204789080888,-37.37290299227282,3.9629381373696915,80.52533144302794
16,0.0,0.0,0.0,-18.01246180019355,2.8343994735511338,44.343195785243566,-28.32712207098307,3.8615155680052133,65.3522621294295,-36.25116687127505,3.786698275895611,80.6270947185043
17,0.0,0.0,0.0,-17.82125189855333,2.3334677327532476,43.96135413555852,-27.72217194696708,3.233521299596114,64.90835352464043,-35.23164024585203,3.310236730247879,80.14001160078813
18,0.0,0.0,0.0,-18.079536753437743,2.047560667084437,43.091448660511524,-27.892349991600724,2.768782357125943,63.60598323506472,-35.239964850660755,2.833980751077159,78.45171417813091
19,0.0,0.0,0.0,-18.130147707303998,1.761493000465218,42.22520566403319,-27.88299350836575,2.357577769174953,62.27441667896562,-35.051196467518125,2.540630486372936,76.60354588887543
20,0.0,0.0,0.0,-18.501858331542365,1.634342460916244,41.300507735262094,-28.217472229974327,1.9856403989703524,60.59950993887768,-35.22034880468344,2.1053727852873942,74.15143286224234
21,0.0,0.0,0.0,-18.64418429679231,1.5157623118266081,40.356577733243704,-28.140059252865047,1.6218531062276742,58.906351914721746,-34.87065810514292,1.5678566467670936,71.70985236678914
22,0.0,0.0,0.0,-19.100252098889104,1.3963213361567195,39.60218220198699,-28.568867838241268,1.3604960771933277,57.133849100680166,-35.08300046470727,1.3046251934259396,68.79617795871238
23,0.0,0.0,0.0,-19.173350005899856,0.8785847184432587,39.90889725195475,-28.116145074440432,0.8046951010863885,55.91086403988847,-33.90274107939981,0.8184114216453615,65.40091097949883
24,0.0,0.0,0.0,-19.00863037950914,0.28247659677935105,40.52187247349514,-27.564622597464155,0.041806008073676536,55.06340737260582,-32.658111349440425,-0.2421818504642787,61.75746948601291
25,0.0,0.0,0.0,-18.246371118702374,-0.11202050772745273,41.09065801767597,-26.478204420549908,-0.028642804167876745,53.65422904018052,-30.882977169661206,-0.5638768887010736,56.300356773468195
26,0.0,0.0,0.0,-18.037201127364234,-0.02870981081344124,40.24144359881103,-25.96140937854929,0.9131353844524966,49.95291870482502,-29.88912361812058,1.1180299142058443,49.77023739187549
27,0.0,0.0,0.0,-17.126290931987178,-0.4442195355018931,41.58566968188806,-23.37892555972667,1.3850163486716363,46.92015540606194,-25.847561061514046,1.8333602457863605,41.674868888140416
28,0.0,0.0,0.0,-18.998602487904723,-0.4616454572519909,40.14825612273792,-26.731248372557264,1.9767337935948355,40.02846819495417,-30.196523366869236,2.4628318084478416,30.276792309001156
29,0.0,0.0,0.0,-20.601678741207998,-1.2029039601241154,39.33047954267886,-28.379440687420335,1.4878072222539718,35.59927245918942,-31.88946070703664,2.4339023177929713,23.085042168610336
30,0.0,0.0,0.0,-22.605636941801496,-2.0940067391381167,38.33803440680449,-31.010510792899122,0.5075460821441069,31.831312817786245,-35.028329315532346,1.8603789332623868,18.173946503186073
31,0.0,0.0,0.0,-23.506250759459213,-2.96724054787874,38.99140791816904,-32.30410650076957,-0.75092350902642,30.70443978605838,-36.412954607883314,0.17099817098435444,14.855359582012671
32,0.0,0.0,0.0,-24.74122202668837,-3.2141420008853436,37.08498779509201,-35.377269268352464,-1.2518231011734313,28.978475308627463,-40.66208514506248,-0.32173158548229586,13.59144589646093
33,0.0,0.0,0.0,-22.853462327645975,-3.705585112807681,37.14949344144998,-31.641746166743566,-1.7888828375545085,31.2103864372276,-35.499549868190925,-0.56399138685955,17.358194849793335
34,0.0,0.0,0.0,-22.15284757595705,-3.14308750232028,35.92719345099381,-30.699640115022078,-0.6786919346758966,30.067846455675806,-34.26602736574408,0.8343970953795667,16.599541710884395
35,0.0,0.0,0.0,-21.41607976358021,-2.5215752371750537,34.79587265990381,-29.582942893936313,0.08548854878889026,29.19013885632024,-32.811760674588506,1.7243923015360036,16.114215016005833
36,0.0,0.0,0.0,-21.317243095886663,-2.315210497461929,33.181851319281925,-28.88550317811165,0.4848273315978574,27.628411292308094,-31.723709085681826,2.4064606357285356,15.188452925891573
37,0.0,0.0,0.0,-21.317243095886663,-2.315210497461929,33.181851319281925,-28.88550317811165,0.4848273315978574,27.628411292308094,-31.723709085681826,2.4064606357285356,15.188452925891573
38,0.0,0.0,0.0,-21.317243095886663,-2.315210497461929,33.181851319281925,-28.88550317811165,0.4848273315978574,27.628411292308094,-31.723709085681826,2.4064606357285356,15.188452925891573
